factor,level,outcome,n,mean
RecruitmentBatch,Original,q_S1,1130,5.40353982300885
RecruitmentBatch,Original,q_S2,1130,5.4964601769911505
RecruitmentBatch,Original,q_S3,1130,5.260176991150442
RecruitmentBatch,Original,q_S4,1130,5.283185840707965
RecruitmentBatch,Original,q_S5,1130,6.5194690265486726
RecruitmentBatch,Original,q_SupplementFlag,1130,0.0
RecruitmentBatch,Original,q_S5_7,1130,5.139601769911504
RecruitmentBatch,Original,eeg_F_theta,1130,5.955289667956168
RecruitmentBatch,Original,eeg_F_alpha,1130,5.016777143265666
RecruitmentBatch,Original,eeg_F_beta,1130,10.06089580997763
RecruitmentBatch,Original,eeg_F_low_beta,1130,3.9070635776251375
RecruitmentBatch,Original,eeg_F_high_beta,1130,5.860874258155273
RecruitmentBatch,Original,eeg_P_theta,1130,0.6506669787749404
RecruitmentBatch,Original,eeg_P_alpha,1130,0.8458398118187058
RecruitmentBatch,Original,eeg_P_beta,1130,1.5358272999134526
RecruitmentBatch,Original,eeg_P_low_beta,1130,0.6018251385441303
RecruitmentBatch,Original,eeg_P_high_beta,1130,0.8888196880108347
RecruitmentBatch,Original,eeg_O_theta,1130,1.6366612579022728
RecruitmentBatch,Original,eeg_O_alpha,1130,1.8605224529869855
RecruitmentBatch,Original,eeg_O_beta,1130,3.782409978799487
RecruitmentBatch,Original,eeg_O_low_beta,1130,1.5710598226780748
RecruitmentBatch,Original,eeg_O_high_beta,1130,2.1053203361926762
RecruitmentBatch,Original,TFD_ms,988,8174.330971659919
RecruitmentBatch,Original,TFD,988,8174.330971659919
RecruitmentBatch,Original,TTFF_ms,988,6957.866396761134
RecruitmentBatch,Original,TTFF,988,6957.866396761134
RecruitmentBatch,Original,attention_share,988,0.1692667590792294
RecruitmentBatch,Original,FCR,1130,0.29737138646691647
RecruitmentBatch,Original,TFD_total_trial,1130,46855.7796460177
RecruitmentBatch,Original,ttff_source,0,
