outcome,term,estimate,std_error,p_value,ci_low,ci_high,model_type,n,n_subjects,formula,model_role,status,interpretation_note
q_S1,Intercept,5.315033488237319,0.7295772564827674,3.2146376237278117e-13,3.885088341591553,6.7449786348830845,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(WWR)[T.45],-0.6952135447716455,0.17383666122144742,6.354773521119521e-05,-1.0359271399583732,-0.354499949584918,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(WWR)[T.75],-1.1880471314221612,0.17187820920715874,4.77378990688553e-12,-1.5249222311954331,-0.8511720316488893,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(Complexity)[T.1],-0.6427014842824266,0.16198581875467416,7.258773955132841e-05,-0.9601878550478208,-0.32521511351703236,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(ExperienceGroup)[T.Low],-0.2571109821079147,0.22180737780962215,0.24638960926959386,-0.691845454120043,0.17762348990421345,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(DateBatch)[T.Second_2026-05-01_or_later],-0.17133564988503686,0.2737574034216573,0.5314023607188626,-0.7078903010926874,0.3652190013226136,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(Gender)[T.Male],0.014721889873581038,0.24721997221371958,0.9525142334660679,-0.46982035192430227,0.49926413167146433,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(WWR)[T.45]:C(DateBatch)[T.Second_2026-05-01_or_later],0.32513070034945535,0.18660034311514836,0.08144010411431558,-0.040599251659052094,0.6908606523579628,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(WWR)[T.75]:C(DateBatch)[T.Second_2026-05-01_or_later],0.6237517184237468,0.19588414682931427,0.001451100981608497,0.239825845495935,1.0076775913515585,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(WWR)[T.45]:C(ExperienceGroup)[T.Low],-0.0817418636986666,0.1998422504027913,0.6825162205081309,-0.47342547707757265,0.30994174968023946,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,C(WWR)[T.75]:C(ExperienceGroup)[T.Low],0.20137632556683707,0.21034702111577822,0.3383891752996152,-0.21089626007537446,0.6136489112090486,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,Age,-0.0038002598584050387,0.028423667839050135,0.8936393748142347,-0.05950962513147273,0.05190910541466265,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,block,0.040221218211348206,0.09322507482397747,0.6661469739428408,-0.14249657089969936,0.2229390073223958,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S1,position,0.315621227774022,0.05782105668266568,4.7994057758350386e-08,0.20229403912794827,0.42894841642009574,ols_cluster_by_participant,453,42,q_S1 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,Intercept,6.683954755479538,0.90029961533092,1.1351088092546821e-13,4.9193999341356704,8.448509576823406,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(WWR)[T.45],-0.8652219704467554,0.14205275675819376,1.1231306031279574e-09,-1.143640257597444,-0.5868036832960668,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(WWR)[T.75],-1.342595113006452,0.2246058401011084,2.265031075477778e-09,-1.7828144703219866,-0.9023757556909173,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(Complexity)[T.1],-0.9339275599589903,0.1920118390929829,1.1509151622774046e-06,-1.3102638491865368,-0.5575912707314439,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(ExperienceGroup)[T.Low],-0.5725572046553324,0.26530799845753045,0.030921225872543808,-1.0925513264425004,-0.05256308286816458,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(DateBatch)[T.Second_2026-05-01_or_later],-0.3190489109190978,0.30446042675660695,0.2946773729221257,-0.9157803820797424,0.2776825602415468,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(Gender)[T.Male],-0.22795285201622342,0.23314188979198902,0.3282014460867746,-0.6849025592961284,0.22899685526368155,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(WWR)[T.45]:C(DateBatch)[T.Second_2026-05-01_or_later],0.10226180209912086,0.1602751696861823,0.5234483211162178,-0.2118717581018423,0.416395362300084,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(WWR)[T.75]:C(DateBatch)[T.Second_2026-05-01_or_later],0.35048597252510505,0.2396488424615955,0.14360476947755538,-0.11921712763633541,0.8201890726865455,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(WWR)[T.45]:C(ExperienceGroup)[T.Low],0.12165001865328989,0.15967850827952842,0.44615347047946496,-0.19131410667966664,0.4346141439862464,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,C(WWR)[T.75]:C(ExperienceGroup)[T.Low],0.25411808267637376,0.24314714153050945,0.29596724145609654,-0.22244155766728801,0.7306777230200355,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
q_S2,Age,-0.023662672389499186,0.03772987375377122,0.5305542775060849,-0.09761186608813383,0.05028652130913546,ols_cluster_by_participant,453,42,q_S2 ~ C(WWR) + C(Complexity) + C(ExperienceGroup) + C(DateBatch) + C(Gender) + C(WWR):C(DateBatch) + C(WWR):C(ExperienceGroup) + Age + block + position,datebatch_adjusted,fit,"Controls DateBatch, ExperienceGroup, Complexity, order, and available demographics; interaction terms are sensitivity checks."
