factor,level,outcome,n,mean
DateBatch,First_before_2026-05-01,q_S1,711,5.317862165963432
DateBatch,Second_2026-05-01_or_later,q_S1,419,5.548926014319809
DateBatch,First_before_2026-05-01,q_S2,711,5.462728551336146
DateBatch,Second_2026-05-01_or_later,q_S2,419,5.5536992840095465
DateBatch,First_before_2026-05-01,q_S3,711,5.263009845288327
DateBatch,Second_2026-05-01_or_later,q_S3,419,5.255369928400954
DateBatch,First_before_2026-05-01,q_S4,711,5.250351617440225
DateBatch,Second_2026-05-01_or_later,q_S4,419,5.3389021479713605
DateBatch,First_before_2026-05-01,q_S5,711,6.513361462728551
DateBatch,Second_2026-05-01_or_later,q_S5,419,6.529832935560859
DateBatch,First_before_2026-05-01,q_SupplementFlag,711,0.0
DateBatch,Second_2026-05-01_or_later,q_SupplementFlag,419,0.0
DateBatch,First_before_2026-05-01,q_S5_7,711,5.135021097046414
DateBatch,Second_2026-05-01_or_later,q_S5_7,419,5.147374701670644
DateBatch,First_before_2026-05-01,eeg_F_theta,711,5.922153371223818
DateBatch,Second_2026-05-01_or_later,eeg_F_theta,419,6.011518562888628
DateBatch,First_before_2026-05-01,eeg_F_alpha,711,4.844971243075058
DateBatch,Second_2026-05-01_or_later,eeg_F_alpha,419,5.308314124257366
DateBatch,First_before_2026-05-01,eeg_F_beta,711,11.43475383660559
DateBatch,Second_2026-05-01_or_later,eeg_F_beta,419,7.729599731379827
DateBatch,First_before_2026-05-01,eeg_F_low_beta,711,4.3053780782987365
DateBatch,Second_2026-05-01_or_later,eeg_F_low_beta,419,3.2311647471265035
DateBatch,First_before_2026-05-01,eeg_F_high_beta,711,6.797765898074498
DateBatch,Second_2026-05-01_or_later,eeg_F_high_beta,419,4.271065293996399
DateBatch,First_before_2026-05-01,eeg_P_theta,711,0.5666124596041127
DateBatch,Second_2026-05-01_or_later,eeg_P_theta,419,0.7932988716877292
DateBatch,First_before_2026-05-01,eeg_P_alpha,711,0.818684211367195
DateBatch,Second_2026-05-01_or_later,eeg_P_alpha,419,0.8919200789333219
DateBatch,First_before_2026-05-01,eeg_P_beta,711,1.7470301349363977
DateBatch,Second_2026-05-01_or_later,eeg_P_beta,419,1.1774377636334683
DateBatch,First_before_2026-05-01,eeg_P_low_beta,711,0.6419337785641376
DateBatch,Second_2026-05-01_or_later,eeg_P_low_beta,419,0.5337648925913256
DateBatch,First_before_2026-05-01,eeg_P_high_beta,711,1.0542035904292995
DateBatch,Second_2026-05-01_or_later,eeg_P_high_beta,419,0.6081801781790245
DateBatch,First_before_2026-05-01,eeg_O_theta,711,1.759978301107042
DateBatch,Second_2026-05-01_or_later,eeg_O_theta,419,1.4274048910321284
DateBatch,First_before_2026-05-01,eeg_O_alpha,711,1.9754058618795616
DateBatch,Second_2026-05-01_or_later,eeg_O_alpha,419,1.6655770980403939
DateBatch,First_before_2026-05-01,eeg_O_beta,711,4.700840831834081
DateBatch,Second_2026-05-01_or_later,eeg_O_beta,419,2.223927075440069
DateBatch,First_before_2026-05-01,eeg_O_low_beta,711,1.9057558616129908
DateBatch,Second_2026-05-01_or_later,eeg_O_low_beta,419,1.003114992886367
DateBatch,First_before_2026-05-01,eeg_O_high_beta,711,2.6645254044884528
DateBatch,Second_2026-05-01_or_later,eeg_O_high_beta,419,1.1564067238817057
DateBatch,First_before_2026-05-01,TFD_ms,630,8680.414285714285
DateBatch,Second_2026-05-01_or_later,TFD_ms,358,7283.737430167598
DateBatch,First_before_2026-05-01,TFD,630,8680.414285714285
DateBatch,Second_2026-05-01_or_later,TFD,358,7283.737430167598
DateBatch,First_before_2026-05-01,TTFF_ms,630,6595.469841269841
DateBatch,Second_2026-05-01_or_later,TTFF_ms,358,7595.6033519553075
DateBatch,First_before_2026-05-01,TTFF,630,6595.469841269841
DateBatch,Second_2026-05-01_or_later,TTFF,358,7595.6033519553075
DateBatch,First_before_2026-05-01,attention_share,630,0.17577919840819298
DateBatch,Second_2026-05-01_or_later,attention_share,358,0.15780632115395837
DateBatch,First_before_2026-05-01,FCR,711,0.3188016455131575
DateBatch,Second_2026-05-01_or_later,FCR,419,0.26100643615217334
DateBatch,First_before_2026-05-01,TFD_total_trial,711,48061.621659634315
DateBatch,Second_2026-05-01_or_later,TFD_total_trial,419,44809.58949880668
DateBatch,First_before_2026-05-01,ttff_source,0,
DateBatch,Second_2026-05-01_or_later,ttff_source,0,
