outcome,factor,contrast,level_high,level_low,mean_high,mean_low,raw_difference,standardized_difference,n_subjects,n_trials,n_rows,interpretation_note
q_S1,WWR,leader_minus_lowest,15,45,5.546666666666667,5.23489932885906,0.31176733780760646,0.23825552314250786,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S1,WWR,WWR15_minus_best_WWR45_or_WWR75,WWR15,best_non15,5.546666666666667,5.337662337662338,0.20900432900432886,0.15972306815765572,42,453,453,Positive values mean WWR15 exceeds the better of WWR45/WWR75; three-level descriptive contrast only.
q_S1,Complexity,leader_minus_lowest,1,0,5.526785714285714,5.222707423580786,0.3040782907049282,0.23237948124280602,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S1,Complexity,Complexity1_minus_0,1,0,5.526785714285714,5.222707423580786,0.3040782907049282,0.23370850135599555,42,453,453,Planned descriptive contrast; use with model and balance diagnostics.
q_S1,ExperienceGroup,leader_minus_lowest,High,Low,5.548022598870056,5.260869565217392,0.28715303365266465,0.21944504108731747,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S1,ExperienceGroup,High_minus_Low,High,Low,5.548022598870056,5.260869565217392,0.28715303365266465,0.22047236406414045,42,453,453,Planned descriptive contrast; use with model and balance diagnostics.
q_S1,DateBatch,leader_minus_lowest,Second_2026-05-01_or_later,First_before_2026-05-01,5.535714285714286,5.277192982456141,0.2585213032581448,0.19756440422653362,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S1,DateBatch,Second_minus_First,Second_2026-05-01_or_later,First_before_2026-05-01,5.535714285714286,5.277192982456141,0.2585213032581448,0.19825255221677293,42,453,453,Planned descriptive contrast; use with model and balance diagnostics.
q_S2,WWR,leader_minus_lowest,15,45,5.76,5.3355704697986575,0.42442953020134233,0.3133601569973021,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S2,WWR,WWR15_minus_best_WWR45_or_WWR75,WWR15,best_non15,5.76,5.376623376623376,0.38337662337662337,0.2830504249631363,42,453,453,Positive values mean WWR15 exceeds the better of WWR45/WWR75; three-level descriptive contrast only.
q_S2,Complexity,leader_minus_lowest,1,0,5.522321428571429,5.458515283842795,0.063806144728634,0.047108653161037975,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S2,Complexity,Complexity1_minus_0,1,0,5.522321428571429,5.458515283842795,0.063806144728634,0.04706959933224641,42,453,453,Planned descriptive contrast; use with model and balance diagnostics.
q_S2,ExperienceGroup,leader_minus_lowest,High,Low,5.745762711864407,5.326086956521739,0.4196757553426673,0.3098504020673434,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
q_S2,ExperienceGroup,High_minus_Low,High,Low,5.745762711864407,5.326086956521739,0.4196757553426673,0.3131143351757285,42,453,453,Planned descriptive contrast; use with model and balance diagnostics.
q_S2,DateBatch,leader_minus_lowest,Second_2026-05-01_or_later,First_before_2026-05-01,5.559523809523809,5.4491228070175435,0.11040100250626583,0.08151005765694856,42,453,453,Descriptive effect-size screen; direction is not a causal claim.
