outcome,factor,level,ExperienceGroup,WWR,Complexity,DateBatch,n_subjects,n_trials,n_rows,mean,sd,se,ci95_low,ci95_high,median,interpretation_note
q_S1,ExperienceGroup,ExperienceGroup=High,High,,,,16,177,177,5.548022598870056,1.1914511012874665,0.08955494878423204,5.3724948992529615,5.723550298487151,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,ExperienceGroup,ExperienceGroup=Low,Low,,,,26,276,276,5.260869565217392,1.3687650589349747,0.08238997464694005,5.099385214909389,5.422353915525394,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,WWR:ExperienceGroup,WWR=15;ExperienceGroup=High,High,15,,,16,59,59,5.661016949152542,1.1687035182204581,0.1521522382965789,5.362798562091248,5.959235336213837,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,WWR:ExperienceGroup,WWR=15;ExperienceGroup=Low,Low,15,,,26,91,91,5.472527472527473,1.259106026253542,0.1319901755146778,5.213826728518704,5.731228216536241,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,WWR:ExperienceGroup,WWR=45;ExperienceGroup=High,High,45,,,16,58,58,5.482758620689655,1.245924997184257,0.16359796699102463,5.162106605387247,5.803410635992063,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,WWR:ExperienceGroup,WWR=45;ExperienceGroup=Low,Low,45,,,26,91,91,5.076923076923077,1.4470719035407653,0.15169435341281068,4.779602144233968,5.374244009612186,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,WWR:ExperienceGroup,WWR=75;ExperienceGroup=High,High,75,,,16,60,60,5.5,1.1717001988274147,0.15126584522688322,5.203518943355309,5.796481056644691,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,WWR:ExperienceGroup,WWR=75;ExperienceGroup=Low,Low,75,,,26,94,94,5.23404255319149,1.3789939601955394,0.14223236690082322,4.955267114065876,5.512817992317103,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,Complexity:ExperienceGroup,Complexity=0;ExperienceGroup=High,High,,0,,16,89,89,5.46067415730337,1.225266017269134,0.12987793807491183,5.2061133986765435,5.715234915930197,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,Complexity:ExperienceGroup,Complexity=0;ExperienceGroup=Low,Low,,0,,26,140,140,5.071428571428571,1.3710409695501424,0.11587411088224134,4.844315314099378,5.298541828757764,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,Complexity:ExperienceGroup,Complexity=1;ExperienceGroup=High,High,,1,,16,88,88,5.636363636363637,1.1565089976524145,0.12328427338560188,5.394726460527857,5.878000812199416,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,Complexity:ExperienceGroup,Complexity=1;ExperienceGroup=Low,Low,,1,,26,136,136,5.455882352941177,1.3436690898780406,0.11521867390690324,5.230053752083646,5.681710953798707,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=High,High,,,First_before_2026-05-01,6,64,64,5.515625,1.0982263839829156,0.13727829799786445,5.2465595359241854,5.7846904640758146,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=Low,Low,,,First_before_2026-05-01,21,221,221,5.208144796380091,1.39874186871715,0.09408956009095885,5.023729258601811,5.39256033415837,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=High,High,,,Second_2026-05-01_or_later,10,113,113,5.566371681415929,1.245535643484721,0.11717013721416693,5.336718212476162,5.796025150355696,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=Low,Low,,,Second_2026-05-01_or_later,5,55,55,5.472727272727273,1.230094026134309,0.16586584464732138,5.147630217218523,5.797824328236023,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=15;ExperienceGroup=High,High,15,,First_before_2026-05-01,6,21,21,5.809523809523809,0.8728715609439697,0.19047619047619052,5.436190476190476,6.182857142857142,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=15;ExperienceGroup=Low,Low,15,,First_before_2026-05-01,21,74,74,5.486486486486487,1.2413342715753424,0.14430217796241246,5.203654217680159,5.769318755292815,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=45;ExperienceGroup=High,High,45,,First_before_2026-05-01,6,21,21,5.476190476190476,1.2090925365350504,0.26384562242276327,4.95905305624186,5.993327896139093,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=45;ExperienceGroup=Low,Low,45,,First_before_2026-05-01,21,72,72,5.013888888888889,1.4964093696462026,0.17635353545131952,4.668235959404303,5.359541818373476,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=75;ExperienceGroup=High,High,75,,First_before_2026-05-01,6,22,22,5.2727272727272725,1.162174406295953,0.2477764159524534,4.787085497460464,5.758369047994081,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=75;ExperienceGroup=Low,Low,75,,First_before_2026-05-01,21,75,75,5.12,1.423357279795184,0.16435514172855256,4.797863922212037,5.442136077787963,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=15;ExperienceGroup=High,High,15,,Second_2026-05-01_or_later,10,38,38,5.578947368421052,1.30759897454691,0.21212056392012757,5.163191063137602,5.994703673704502,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=15;ExperienceGroup=Low,Low,15,,Second_2026-05-01_or_later,5,17,17,5.411764705882353,1.3719886811400706,0.33275613232308116,4.759562686529114,6.063966725235592,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=45;ExperienceGroup=High,High,45,,Second_2026-05-01_or_later,10,37,37,5.486486486486487,1.282827208023608,0.2108954938868401,5.07313131846828,5.8998416545046934,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=45;ExperienceGroup=Low,Low,45,,Second_2026-05-01_or_later,5,19,19,5.315789473684211,1.2495613265350085,0.28666902874330163,4.753918177347339,5.877660770021082,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=75;ExperienceGroup=High,High,75,,Second_2026-05-01_or_later,10,38,38,5.631578947368421,1.172224787768251,0.1901599709564722,5.2588654042937355,6.004292490443107,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
