factor,level,outcome,n,mean
Gender,Female,q_S1,512,5.396484375
Gender,Male,q_S1,618,5.409385113268608
Gender,Female,q_S2,512,5.6328125
Gender,Male,q_S2,618,5.383495145631068
Gender,Female,q_S3,512,5.33984375
Gender,Male,q_S3,618,5.194174757281553
Gender,Female,q_S4,512,5.224609375
Gender,Male,q_S4,618,5.331715210355987
Gender,Female,q_S5,512,6.541015625
Gender,Male,q_S5,618,6.501618122977346
Gender,Female,q_SupplementFlag,512,0.0
Gender,Male,q_SupplementFlag,618,0.0
Gender,Female,q_S5_7,512,5.15576171875
Gender,Male,q_S5_7,618,5.12621359223301
Gender,Female,eeg_F_theta,512,6.800658580391574
Gender,Male,eeg_F_theta,618,5.254919306844636
Gender,Female,eeg_F_alpha,512,6.111814687349161
Gender,Male,eeg_F_alpha,618,4.109561572762836
Gender,Female,eeg_F_beta,512,13.71828550114624
Gender,Male,eeg_F_beta,618,7.03082538622629
Gender,Female,eeg_F_low_beta,512,5.04707065776124
Gender,Male,eeg_F_low_beta,618,2.9625916924638362
Gender,Female,eeg_F_high_beta,512,8.265407231329894
Gender,Male,eeg_F_high_beta,618,3.8687692706708
Gender,Female,eeg_P_theta,512,0.7486478016273136
Gender,Male,eeg_P_theta,618,0.5694919281270195
Gender,Female,eeg_P_alpha,512,1.0158051074681014
Gender,Male,eeg_P_alpha,618,0.7050271396949349
Gender,Female,eeg_P_beta,512,1.8149760570359064
Gender,Male,eeg_P_beta,618,1.304558426698734
Gender,Female,eeg_P_low_beta,512,0.712341226364538
Gender,Male,eeg_P_low_beta,618,0.5102648845569964
Gender,Female,eeg_P_high_beta,512,1.0467785431256051
Gender,Male,eeg_P_high_beta,618,0.7579540993073354
Gender,Female,eeg_O_theta,512,1.7750913780034088
Gender,Male,eeg_O_theta,618,1.5219748153589372
Gender,Female,eeg_O_alpha,512,1.8991795043199624
Gender,Male,eeg_O_alpha,618,1.8284958991318327
Gender,Female,eeg_O_beta,512,3.9435732403090134
Gender,Male,eeg_O_beta,618,3.64888960680454
Gender,Female,eeg_O_low_beta,512,1.6437480954829962
Gender,Male,eeg_O_low_beta,618,1.5108391177005343
Gender,Female,eeg_O_high_beta,512,2.1855086065033866
Gender,Male,eeg_O_high_beta,618,2.0388860410485283
Gender,Female,TFD_ms,454,8285.156387665198
Gender,Male,TFD_ms,534,8080.10861423221
Gender,Female,TFD,454,8285.156387665198
Gender,Male,TFD,534,8080.10861423221
Gender,Female,TTFF_ms,454,5742.396475770926
Gender,Male,TTFF_ms,534,7991.243445692884
Gender,Female,TTFF,454,5742.396475770926
Gender,Male,TTFF,534,7991.243445692884
Gender,Female,attention_share,454,0.17734837567416764
Gender,Male,attention_share,534,0.16239587156218457
Gender,Female,FCR,512,0.3048072730350785
Gender,Male,FCR,618,0.29121091086352
Gender,Female,TFD_total_trial,512,46355.34765625
Gender,Male,TFD_total_trial,618,47270.37702265372
Gender,Female,ttff_source,0,
Gender,Male,ttff_source,0,
