outcome,available_wwr_levels,wwr45_peak_index,claim_strength
q_S1,"15,45,75",-0.23007310704960826,exploratory_only_three_levels
q_S2,"15,45,75",-0.24118998287430848,exploratory_only_three_levels
q_S3,"15,45,75",0.2037119514865653,exploratory_only_three_levels
q_S4,"15,45,75",-0.3791437715825827,exploratory_only_three_levels
q_S5,"15,45,75",-0.39533209803756364,exploratory_only_three_levels
q_SupplementFlag,"15,45,75",0.0,exploratory_only_three_levels
q_S5_7,"15,45,75",-0.29649907352817273,exploratory_only_three_levels
eeg_F_theta,"15,45,75",-0.018006715499820913,exploratory_only_three_levels
eeg_F_alpha,"15,45,75",0.1517195535139919,exploratory_only_three_levels
eeg_F_beta,"15,45,75",1.0655579147745922,exploratory_only_three_levels
eeg_F_low_beta,"15,45,75",0.23917506256715626,exploratory_only_three_levels
eeg_F_high_beta,"15,45,75",0.7969105677218948,exploratory_only_three_levels
eeg_P_theta,"15,45,75",-0.00848488630619304,exploratory_only_three_levels
eeg_P_alpha,"15,45,75",-0.024918754878708316,exploratory_only_three_levels
eeg_P_beta,"15,45,75",0.10441898863061039,exploratory_only_three_levels
eeg_P_low_beta,"15,45,75",0.025750146878662505,exploratory_only_three_levels
eeg_P_high_beta,"15,45,75",0.07608538253914865,exploratory_only_three_levels
eeg_O_theta,"15,45,75",-0.03048790872585716,exploratory_only_three_levels
eeg_O_alpha,"15,45,75",0.009998796353470008,exploratory_only_three_levels
eeg_O_beta,"15,45,75",0.19138517689910772,exploratory_only_three_levels
eeg_O_low_beta,"15,45,75",0.06664877505936051,exploratory_only_three_levels
eeg_O_high_beta,"15,45,75",0.11999692224073666,exploratory_only_three_levels
TFD_ms,"15,45,75",-1163.4551361751683,exploratory_only_three_levels
TFD,"15,45,75",-1163.4551361751683,exploratory_only_three_levels
TTFF_ms,"15,45,75",1470.7048581614154,exploratory_only_three_levels
TTFF,"15,45,75",1470.7048581614154,exploratory_only_three_levels
attention_share,"15,45,75",-0.02304991014011129,exploratory_only_three_levels
FCR,"15,45,75",-0.012002970308213068,exploratory_only_three_levels
TFD_total_trial,"15,45,75",-8.87900895588973,exploratory_only_three_levels
ttff_source,,,insufficient_wwr_granularity
