outcome,order_variable,n,correlation,interpretation
q_S1,position,1130,0.06656336482355601,include_as_covariate
q_S1,block,1130,0.01028457935605441,include_as_covariate
q_S1,round,0,,include_as_covariate
q_S2,position,1130,-0.03559727140354687,include_as_covariate
q_S2,block,1130,-0.05198509651189885,include_as_covariate
q_S2,round,0,,include_as_covariate
q_S3,position,1130,-0.0400301469266895,include_as_covariate
q_S3,block,1130,0.01806179388270171,include_as_covariate
q_S3,round,0,,include_as_covariate
q_S4,position,1130,0.02592771998919358,include_as_covariate
q_S4,block,1130,0.043471540648818266,include_as_covariate
q_S4,round,0,,include_as_covariate
q_S5,position,1130,-0.011596875354018377,include_as_covariate
q_S5,block,1130,-0.01339135405612906,include_as_covariate
q_S5,round,0,,include_as_covariate
q_SupplementFlag,position,1130,,include_as_covariate
q_SupplementFlag,block,1130,,include_as_covariate
q_SupplementFlag,round,0,,include_as_covariate
q_S5_7,position,1130,-0.011596875354018344,include_as_covariate
q_S5_7,block,1130,-0.013391354056128969,include_as_covariate
q_S5_7,round,0,,include_as_covariate
eeg_F_theta,position,1130,0.024602852308388126,include_as_covariate
eeg_F_theta,block,1130,-0.04918839048281435,include_as_covariate
eeg_F_theta,round,0,,include_as_covariate
eeg_F_alpha,position,1130,0.12452649999318595,include_as_covariate
eeg_F_alpha,block,1130,0.2142974837129898,include_as_covariate
eeg_F_alpha,round,0,,include_as_covariate
eeg_F_beta,position,1130,0.03297275753584967,include_as_covariate
eeg_F_beta,block,1130,0.04828955405113838,include_as_covariate
eeg_F_beta,round,0,,include_as_covariate
eeg_F_low_beta,position,1130,0.037031457689679026,include_as_covariate
eeg_F_low_beta,block,1130,0.03845786150888533,include_as_covariate
eeg_F_low_beta,round,0,,include_as_covariate
eeg_F_high_beta,position,1130,0.031132489445734896,include_as_covariate
eeg_F_high_beta,block,1130,0.0512737707037006,include_as_covariate
eeg_F_high_beta,round,0,,include_as_covariate
eeg_P_theta,position,1130,0.018770721457081866,include_as_covariate
eeg_P_theta,block,1130,-0.012069902550841028,include_as_covariate
eeg_P_theta,round,0,,include_as_covariate
eeg_P_alpha,position,1130,0.09770497696526925,include_as_covariate
eeg_P_alpha,block,1130,0.1896617771262733,include_as_covariate
eeg_P_alpha,round,0,,include_as_covariate
eeg_P_beta,position,1130,-0.0033930248740207734,include_as_covariate
eeg_P_beta,block,1130,0.04671949644259906,include_as_covariate
eeg_P_beta,round,0,,include_as_covariate
eeg_P_low_beta,position,1130,0.022390161749771938,include_as_covariate
eeg_P_low_beta,block,1130,0.04193554048978912,include_as_covariate
eeg_P_low_beta,round,0,,include_as_covariate
eeg_P_high_beta,position,1130,-0.014496453267987982,include_as_covariate
eeg_P_high_beta,block,1130,0.04690872209966323,include_as_covariate
eeg_P_high_beta,round,0,,include_as_covariate
eeg_O_theta,position,1130,0.010934793121877341,include_as_covariate
eeg_O_theta,block,1130,0.008122734831783652,include_as_covariate
eeg_O_theta,round,0,,include_as_covariate
eeg_O_alpha,position,1130,0.09397425503005083,include_as_covariate
eeg_O_alpha,block,1130,0.16075914782389694,include_as_covariate
eeg_O_alpha,round,0,,include_as_covariate
eeg_O_beta,position,1130,-0.008238372502777916,include_as_covariate
eeg_O_beta,block,1130,0.02405954297616717,include_as_covariate
eeg_O_beta,round,0,,include_as_covariate
eeg_O_low_beta,position,1130,0.0009883273601702484,include_as_covariate
eeg_O_low_beta,block,1130,0.016427913050508884,include_as_covariate
eeg_O_low_beta,round,0,,include_as_covariate
eeg_O_high_beta,position,1130,-0.013561729491625818,include_as_covariate
eeg_O_high_beta,block,1130,0.027945106985669852,include_as_covariate
eeg_O_high_beta,round,0,,include_as_covariate
TFD_ms,position,988,-0.14656000928302693,include_as_covariate
TFD_ms,block,988,0.00769225556668744,include_as_covariate
TFD_ms,round,0,,include_as_covariate
TFD,position,988,-0.14656000928302693,include_as_covariate
TFD,block,988,0.00769225556668744,include_as_covariate
TFD,round,0,,include_as_covariate
TTFF_ms,position,988,-0.011656051098749315,include_as_covariate
TTFF_ms,block,988,-0.05694685574029869,include_as_covariate
TTFF_ms,round,0,,include_as_covariate
TTFF,position,988,-0.011656051098749315,include_as_covariate
TTFF,block,988,-0.05694685574029869,include_as_covariate
TTFF,round,0,,include_as_covariate
attention_share,position,988,-0.14823491053211363,include_as_covariate
attention_share,block,988,0.0023312072709744595,include_as_covariate
attention_share,round,0,,include_as_covariate
FCR,position,1130,-0.05499574781718328,include_as_covariate
FCR,block,1130,-0.03353553204162452,include_as_covariate
FCR,round,0,,include_as_covariate
TFD_total_trial,position,1130,-0.02570731258282058,include_as_covariate
TFD_total_trial,block,1130,-0.00034646306852924,include_as_covariate
TFD_total_trial,round,0,,include_as_covariate
ttff_source,position,0,,include_as_covariate
ttff_source,block,0,,include_as_covariate
ttff_source,round,0,,include_as_covariate
