module,source_table,grain,metric,factor,level,n_subjects,n_trials,n_rows,mean,sd,se,ci95_low,ci95_high,median,iqr,note
sample_qc,realdata_run_summary.json,run,participants,overall,all,56,672,1,,,,,,,,Participant count from run summary or participants table.
sample_qc,01_sample_qc/scene_manifest_standardized.csv,scene_trial,participants_by_DateBatch,DateBatch,First_before_2026-05-01,31,372,372,,,,,,,,DateBatch is inferred from eye_record_id with cutoff 2026-05-01.
sample_qc,01_sample_qc/scene_manifest_standardized.csv,scene_trial,participants_by_DateBatch,DateBatch,Second_2026-05-01_or_later,25,300,300,,,,,,,,DateBatch is inferred from eye_record_id with cutoff 2026-05-01.
sample_qc,01_sample_qc/participants_standardized.csv;01_sample_qc/scene_manifest_standardized.csv,participant,participants_by_DateBatch_ExperienceGroup,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=High,7,0,7,,,,,,,,ExperienceGroup uses the Q1.4 table-tennis-experience 2/2 split; DateBatch is inferred from eye_record_id.
sample_qc,01_sample_qc/participants_standardized.csv;01_sample_qc/scene_manifest_standardized.csv,participant,participants_by_DateBatch_ExperienceGroup,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=Low,24,0,24,,,,,,,,ExperienceGroup uses the Q1.4 table-tennis-experience 2/2 split; DateBatch is inferred from eye_record_id.
sample_qc,01_sample_qc/participants_standardized.csv;01_sample_qc/scene_manifest_standardized.csv,participant,participants_by_DateBatch_ExperienceGroup,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=High,19,0,19,,,,,,,,ExperienceGroup uses the Q1.4 table-tennis-experience 2/2 split; DateBatch is inferred from eye_record_id.
sample_qc,01_sample_qc/participants_standardized.csv;01_sample_qc/scene_manifest_standardized.csv,participant,participants_by_DateBatch_ExperienceGroup,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=Low,6,0,6,,,,,,,,ExperienceGroup uses the Q1.4 table-tennis-experience 2/2 split; DateBatch is inferred from eye_record_id.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,analysis_scene_trials_total,overall,all,56,672,672,,,,,,,,Scene-trial QC count.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,analysis_scene_trials_kept,overall,all,56,453,453,,,,,,,,Scene-trial QC count.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,analysis_scene_trials_excluded,overall,all,56,219,219,,,,,,,,Scene-trial QC count.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,exclusion_bad_eeg_quality,overall,all,35,201,201,,,,,,,,Exclusion reason counts can overlap.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,exclusion_duration_mismatch,overall,all,13,23,23,,,,,,,,Exclusion reason counts can overlap.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,exclusion_missing_questionnaire,overall,all,0,0,0,,,,,,,,Exclusion reason counts can overlap.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,exclusion_missing_eye,overall,all,0,0,0,,,,,,,,Exclusion reason counts can overlap.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,exclusion_missing_eeg,overall,all,0,0,0,,,,,,,,Exclusion reason counts can overlap.
sample_qc,05_multimodal_fusion/analysis_qc_exclusions.csv,scene_trial,exclusion_scene_count_mismatch,overall,all,0,0,0,,,,,,,,Exclusion reason counts can overlap.
questionnaire,02_questionnaire/questionnaire_long.csv,scene_trial,S1,overall,all,56,672,672,5.395833333333333,1.276118096776321,0.04922732431995883,5.299347777666214,5.492318889000452,6.0,1.0,Questionnaire scene-level descriptive result; IPQ_mean is participant-level information repeated on scene rows.
questionnaire,02_questionnaire/questionnaire_long.csv,scene_trial,S1,WWR,WWR=15,56,224,224,5.535714285714286,1.1860820034458588,0.07924843731272917,5.380387348581336,5.691041222847235,6.0,1.0,Questionnaire scene-level descriptive result; IPQ_mean is participant-level information repeated on scene rows.
questionnaire,02_questionnaire/questionnaire_long.csv,scene_trial,S1,WWR,WWR=45,56,224,224,5.258928571428571,1.3542527978981584,0.09048482115740933,5.081578321960049,5.436278820897093,5.0,1.0,Questionnaire scene-level descriptive result; IPQ_mean is participant-level information repeated on scene rows.
questionnaire,02_questionnaire/questionnaire_long.csv,scene_trial,S1,WWR,WWR=75,56,224,224,5.392857142857143,1.2730891271582918,0.08506184529738237,5.2261359260742735,5.559578359640013,5.0,1.0,Questionnaire scene-level descriptive result; IPQ_mean is participant-level information repeated on scene rows.
questionnaire,02_questionnaire/questionnaire_long.csv,scene_trial,S1,Complexity,Complexity=0,56,336,336,5.285714285714286,1.3096329992599196,0.07144633752048365,5.145679464174138,5.4257491072544335,5.0,1.0,Questionnaire scene-level descriptive result; IPQ_mean is participant-level information repeated on scene rows.
questionnaire,02_questionnaire/questionnaire_long.csv,scene_trial,S1,Complexity,Complexity=1,56,336,336,5.505952380952381,1.2338365058218985,0.06731129979915086,5.374022233346046,5.637882528558717,6.0,1.0,Questionnaire scene-level descriptive result; IPQ_mean is participant-level information repeated on scene rows.
